,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
peou_navigation_1,0.5179720970788199,0.21154170090960794,0.5146897371582337,0.19794279327532002,0.0996865754746702,0.013717925287472761,0.14257698466493074,0.059882116409889254,-0.09724550124429118,-0.2605464773564357
peou_navigation_2,0.4893207928036688,0.18853432011503657,0.530756139970653,0.21949327936883528,0.11060376033686119,-0.016945651167792026,0.27088083401124835,0.009963478391127281,-0.1717569052883191,-0.2564693746383765
peou_learning_1,0.7476864739845698,0.11018214520124557,0.10885613468534251,0.22614740899314878,0.1074322374032771,0.06235559378681822,0.10339142144757846,0.18776302829166036,0.036034378111152614,0.007208306658648703
peou_learning_2,0.7057715799027293,0.06927365099017942,0.18673721286106362,0.1736440384321456,0.14702989654664467,0.08888315392583374,0.0906550755117313,0.1730263116213835,-0.00124203724665004,0.11009485106177684
peou_instructions_1,0.6472391319384113,0.17723163032743094,0.15671307928176703,0.2840610904750852,0.11182676708887192,0.03952548601518562,0.29154814810939833,0.04492555318297092,-0.014803391131113753,-0.026840568828726524
peou_instructions_2,0.7252592072372492,0.1857380315695661,0.1843284844843204,0.2245025813048004,0.15752884423112623,0.02855348638130838,0.17653397134764584,0.1089508771980443,0.10764594733623946,0.024224309988283697
peou_error_1,0.13771369465503475,0.226221919015319,0.13681970690668782,0.24314813363584276,0.018034060459122692,0.09407514553708796,0.7422113984682935,0.12486277758699872,0.10883238982228892,0.11635567889801678
peou_error_2,0.27628753073705836,0.2686586917194943,-0.19388374398062566,0.15824669522075693,0.0902455636610035,0.07746708498086649,0.4758365489792715,0.15597040856298391,0.31162284589161504,-0.022888953283652858
peou_response_1,0.32890763441623944,0.2114611631274617,0.14622197234333434,0.2546119790322334,0.03513665156162026,0.19910175872756788,0.5216365452378828,-0.0032808216537138224,0.14843632827274839,0.1689105247373937
peou_response_2,0.15809542177275165,0.18166263480235725,0.046516514935060274,0.12366019466518641,0.0640368442180411,0.07369236640807322,0.7060351517910455,-0.016569963290700887,-0.03037547388236817,-0.09277908750851727
pu_product_1,0.2196838723367601,0.1546507087062432,0.28420787364767225,0.6305760692766941,0.10646872867079164,0.014800459635015254,0.18602544610906147,0.1566411729041286,0.08189569905248993,0.09248174297579402
pu_product_2,0.2694313914967227,0.1344065907518126,0.08018821704852845,0.6750229072771705,0.08133648969715267,0.12308355258979659,0.09174358040072066,0.1835189793877687,0.16333317406874553,-0.06029895332670138
pu_convenience_1,0.3894772412373203,0.1683533825075944,0.2409813733391741,0.44290696924776396,0.2099212816010115,0.043504144549711056,0.02856059068456677,0.2629586785242673,0.03790613006857144,0.29758791843978577
pu_convenience_2,0.32131076136678616,0.18577235034958847,0.5772690771566875,0.4246313948287469,0.16425737700699378,-0.0017307375997635613,0.11423207990134956,0.1608263186477548,-0.05676651921152728,0.09330612383479565
pu_cost_1,0.14845837349923546,0.12118428290493233,0.15095197783260836,0.46878177309976166,0.07042347296677913,0.32438664499610254,0.1284005052282606,-0.011241644187449515,0.027372679237154352,0.043543446951693474
pu_cost_2,0.05133878851947308,0.23157979244002322,0.22946461354887165,0.32820320803315806,0.11837277593583789,0.4084118973671026,0.1299846561320755,-0.018631374894327004,0.04322613564624864,0.4127511274581445
pu_info_1,0.1526554275954005,0.2626331609141423,0.1908439123511924,0.550581796046163,0.06085506294095814,0.22388662646888943,0.1750022392652944,0.12686357305438836,-0.14935444003035533,-0.04820477687101537
pu_info_2,0.27349178782444317,0.1573268976854333,-0.1362441658751821,0.4993442269809545,0.04832806933095212,0.2777856338258173,0.11203699959715092,0.2635106295669472,0.16292770553844502,0.13610559005440262
pu_personalization_1,0.20979682737689556,0.28318017914009086,0.23244044305343903,0.5674318790905156,0.018480970816405772,0.2031681251912747,0.10429767488127047,0.1198039625654209,-0.10095806411386725,0.0031057535511366074
pu_personalization_2,0.17923077302304125,0.33382122505855155,0.06907558337338802,0.6229879268699603,0.02172217710021803,0.28108790884408746,0.19253327497641662,0.012760485395774363,0.06155483161900648,0.017771533772192843
sa_privacy_1,0.09861862114340646,0.6697136622331689,0.22381073265756063,0.20353877174705384,0.10886162551299015,0.1542569941494444,0.13618274159780913,0.1364705029181027,-0.07942931339672056,-0.09679896947207091
sa_privacy_2,0.1352493503876171,0.6942194154427854,0.13265563615284684,0.12257075106471992,0.08807856970876907,0.16653637310114872,0.14758552020182428,0.010560372626319394,-0.11546415652009355,-0.06417201271815322
sa_payment_1,0.3632616547675641,0.6752018145430337,0.1427097736474888,0.11999750549396553,0.20190396601776936,0.10247531977403015,0.06176554659424301,0.14506081454535374,-0.0621551292406492,0.04825600321051902
sa_payment_2,0.30188426017155595,0.7377630356241875,0.1337007376160992,0.11950898780455539,0.16191902792749718,0.1455341428203866,0.03326332926350921,0.1539447915546184,-0.039940228468028936,0.047811017711761265
sa_policy_1,0.03479295015695535,0.6548687206916884,0.11397793644690017,0.25229577963750044,0.08136985704608152,0.024716370099627318,0.22311099009990976,0.034852733412263186,0.15441097838652323,0.22535206632119437
sa_policy_2,-0.04084610713955287,0.7054813501611726,0.0678253632059106,0.25277635483819483,0.07108987041189345,0.14407539417494666,0.21653971133815145,0.0802634036773577,0.05471329997155134,0.04004749650682224
si_wom_1,0.168410134604273,0.1273050307909199,0.7437210141744975,0.14566270480173216,0.1353970598438336,0.1995707433508959,0.03285550623780119,0.06715437271921067,-0.011682454478649322,0.1995562040236533
si_wom_2,0.32124529766626375,0.23550286596267705,0.4363380461686866,0.17738131231601426,0.154104632051686,0.2183241068575643,0.04202534744093172,0.36010481615323103,0.21283924746194122,0.3274065415885606
